Fuel_Type,Year,Amount,Rank,,
Hydro,1999,"16,563.0",1,,
Wind,1999,28.0,4,,
Solar,1999,37.7,3,,
Bioenergy,1999,"1,133.0",2,,
Hydro,2000,"16,720.0",1,,
Wind,2000,58.0,3,,
Solar,2000,43.5,4,,
Bioenergy,2000,"1,134.0",2,,
Hydro,2001,"16,933.0",1,,
Wind,2001,210.0,3,,
Solar,2001,50.0,4,,
Bioenergy,2001,645.0,2,,
Hydro,2002,"16,054.0",1,,
Wind,2002,364.0,3,,
Solar,2002,58.3,4,,
Bioenergy,2002,950.0,2,,
Hydro,2003,16490,1,,
Wind,2003,705,3,,
Solar,2003,68.1,4,,
Bioenergy,2003,1583.6,2,,
Hydro,2004,"16,331.1",1,,
Wind,2004,705.0,3,,
Solar,2004,68.1,4,,
Bioenergy,2004,"1,799.5",2,,
Hydro,2005,"15,612.2",1,,
Wind,2005,885.0,3,,
Solar,2005,77.8,4,,
Bioenergy,2005,"3,830.0",2,,
Hydro,2006,"16,029.2",1,,
Wind,2006,"1,713.1",3,,
Solar,2006,90.3,4,,
Bioenergy,2006,"3,911.0",2,,
Hydro,2007,"14,517.0",1,,
Wind,2007,"2,611.1",3,,
Solar,2007,104.7,4,,
Bioenergy,2007,"3,953.0",2,,
Hydro,2008,"12,056.9",1,,
Wind,2008,"3,093.1",3,,
Solar,2008,122.8,4,,
Bioenergy,2008,"4,596.0",2,,
Hydro,2009,"11,869.4",1,,
Wind,2009,"3,823.8",2,,
Solar,2009,155.6,4,,
Bioenergy,2009,"2,795.2",3,,
Hydro,2010,"13,548.7",1,,
Wind,2010,"5,051.7",2,,
Solar,2010,424.8,4,,
Bioenergy,2010,"2,777.4",3,,
Hydro,2011,"16,806.7",1,,
Wind,2011,"6,084.9",2,,
Solar,2011,"1,530.5",4,,
Bioenergy,2011,"2,101.7",3,,
Hydro,2012,"14,083.3",1,,
Wind,2012,"6,969.8",2,,
Solar,2012,"2,558.6",4,,
Bioenergy,2012,"3,043.7",3,,
Hydro,2013,"18,269.6",1,,
Wind,2013,"7,959.6",2,,
Solar,2013,"3,826.2",3,,
Bioenergy,2013,"3,143.5",4,,
Hydro,2014,"18,420.9",1,,
Wind,2014,"10,251.9",2,,
Solar,2014,"4,416.0",3,,
Bioenergy,2014,"3,499.4",4,,
Hydro,2015,"13,445.0",1,,
Wind,2015,"11,466.5",2,,
Solar,2015,"5,531.3",3,,
Bioenergy,2015,"3,592.2",4,,
Hydro,2016,"15,318.2",1,,
Wind,2016,"12,199.5",2,,
Solar,2016,"6,838.3",3,,
Bioenergy,2016,"3,789.9",4,,
Hydro,2017,"16,284.9",1,,
Wind,2017,"12,597.0",2,,
Solar,2017,"8,071.7",3,,
Bioenergy,2017,"3,500.5",4,,
Hydro,2018,"16,020.8",1,,
Wind,2018,"15,174.4",2,,
Solar,2018,"9,929.9",3,,
Bioenergy,2018,"3,517.7",4,,
Hydro,2019,"15,967.3",2,,
Wind,2019,"17,712.0",1,,
Solar,2019,"14,848.5",3,,
Bioenergy,2019,"3,495.9",4,,
Hydro,2020,"15,149.6",3,,
Wind,2020,"20,395.9",2,,
Solar,2020,"21,033.2",1,,
Bioenergy,2020,"3,351.6",4,,
Hydro,2021,"15,199.7",3,,
Wind,2021,"24,535.4",2,,
Solar,2021,"27,717.0",1,,
Bioenergy,2021,"3,346.2",4,,
Hydro,2022,"17,010.9",3,,
Wind,2022,"29,107.8",2,,
Solar,2022,"34,686.6",1,,
Bioenergy,2022,"3,190.3",4,,
Hydro,2023,"16,666.1",3,,
Wind,2023,"31,384.9",2,,
Solar,2023,"41,968.5",1,,
Bioenergy,2023,"3,092.8",4,,